Исходное слово|Перевод|Количество упоминаний
а|а|6
как|as|6
ты|ration|5
на|Moscow City Committee for State Registration of Real Estate Titles|4
в|in|3
планировать|to plan|3
вместе|together with&#x0D;|2
мочь|might|2
сходить|go|2
что|what|2
потом|then|2
с|с|2
быть|be|2
тоже|the same|2
у|y|2
такой|so|1
давать|ɡive|1
звучать|to sound|1
свежий|fresh|1
время|Time|1
провести|mark|1
и|and|1
выставка|exhibition|1
посетить|rèze|1
пока|while|1
вы|vy|1
к|к|1
присоединиться|join|1
не|not|1
давно|days ago|1
друг|friend|1
проводить|to conduct|1
выбрать|choose|1
думать|think|1
завтра|tomorrow|1
закончить|finish|1
только|only|1
вот|BDT|1
читать|read|1
от|from|1
отрываться|to come off|1
любить|love|1
это|is|1
за|for|1
новый|new|1
почитать|to read it. |1
вечером|in the evening|1
но|но|1
заниматься|take up|1
утро|morning|1
пройти|away|1
немного|few|1
сегодня|today|1
всё|Everything|1
