Исходное слово|Перевод|Количество упоминаний
как|as|15
в|in|12
на|Moscow City Committee for State Registration of Real Estate Titles|12
я|.|11
ты|ration|9
не|not|8
у|y|8
и|and|8
хорошо|good|7
всё|Everything|7
ещё|more|6
домой|home|5
как|as|15
мы|we're|5
а|а|5
приехать|go far|4
круто|Kruto|4
это|is|3
какой|which|3
лера|Lera|3
спасибо|thank you|3
завтра|tomorrow|3
спать|sleep|3
остальной|Rest of |3
уже|Your Business|3
телефон|telephone|3
давать|ɡive|3
там|there|3
с|с|3
так|so|3
да|Yes|3
добрый|good|3
информатика|Information Science |2
что|what|2
только|only|2
нормально|normal|2
пятница|Black|2
еда|Food|2
понятно|understood|2
от|from|2
попробовать|Free trial|2
много|many|2
карта|map|2
они|Oni|2
понять|captain.|2
по|under|2
в|in|12
уточнить|To be specified|2
быть|be|2
папа|father|2
семья|family|2
состав|structure of|2
о|C|2
справка|BELGE|2
дом|house|2
он|??|2
сколько|how much|2
на|Moscow City Committee for State Registration of Real Estate Titles|12
зачёт|passed|1
стажировка|internship|1
практика|internship|1
сегодня|today|1
метро|Rapid transit|1
расчитывать|calculate|1
хороший|Good|1
проходная|feed-through|1
русский|английский|1
математик|Mathematician|1
прикладной|Applied|1
безопасность|safety|1
информационный|the Information|1
геоинформатика|Geoinformatics;|1
факультет|faculty|1
миигаик|miigaik|1
хотеть|want|1
поступать|To be received|1
ааа|ааа|1
кто|who|1
кибец|kibbets|1
даня|danya|1
институт|Institute|1
пожалуйста|please|1
подсказать|prompt|1
работа|work|1
убрать|remove|1
мой|my|1
положить|положить.|1
наушник|EARFLAP|1
чёрный|black|1
лежать|to lie down|1
олень|Deer|1
ванна|Bathtub|1
полчасика|полчасика|1
лечь|lie down|1
"сейчас|Now,|1"
горох|peas|1
вкус|taste|1
нут|chickpeas|1
вчера|yesterday|1
обратно|Back|1
"сергиенко|Sergienko,|1"
до|to|1
поехать|go|1
разобраться|figure out|1
разный|different|1
звонить|call|1
просто|Simple|1
поговорить|to chat.|1
дело|matter|1
обстоять|be|1
дохнуть|to die|1
зайти|Stop by|1
работать|work;|1
снимка|snapshot|1
лёгкое|lung|1
такой|so|1
закончиться|end|1
надеяться|look forward to|1
итог|total|1
зелёный|green|1
снилс|SNILS (individual insurance account number)|1
оставить|to let the|1
емать|enamel|1
мочь|might|1
можно|May I come in? |1
оливье|Russian Salad|1
день|day|1
каждый|each|1
москва|Moscow|1
мотаться|мотаться|1
устраиваться|settle down|1
весь|весь|1
скорее|rather|1
вечером|in the evening|1
отлично|Excellent|1
эпилятор|EPILATOR|1
шкаф|cabinet|1
прорастать|to germinate|1
начать|to start|1
имбирь|ginger|1
южка|south|1
отплывать|to sail away|1
дождь|rain|1
подавать|Submit|1
скоро|soon|1
сидеть|sit|1
электричка|electric train|1
машина|machine|1
"лёша|Droni ,|1"
собрать|collected the|1
надо|надо|1
байдарка|kayak|1
знать|Aristocracy|1
ждать|wait|1
жарко|hot|1
холодно| cold|1
то|than|1
самый|- ...|1
гугл|Google|1
перезапустить|restart|1
мент|-|1
виснуть|hang out|1
опа|View Cart|1
потеряласт|lostlast|1
я|.|11
навигатор|Navigator|1
еня|enya|1
натирать|rub|1
немного|few|1
нога|leg|1
прописка|прописка / registered at|1
книга|book|1
из|of|1
выписка|abstract|1
в|in|12
прописать|prescribe|1
оригинал|Original|1
нужный|required|1
жить|Ikiru|1
но|но|1
как|as|15
хватить|enough|1
утром|Morning|1
нет|no|1
дождевик|Raincoat|1
ли|Lee|1
есть|yes|1
на|Moscow City Committee for State Registration of Real Estate Titles|12
